average_journey_time,average_pt_service_rate,average_intracity_journey_time,average_intercity_journey_time,pt_network_name,train_headway,bus_headway,demand_size,intra_ratio,random_seed,total_pt_cost
4099.172222222222,0.9266666666666666,2697.2833333333333,5033.764814814815,basic,20,10,900,40,6,3084.831754632334
4055.79,0.9255555555555556,2700.8416666666667,4959.0888888888885,basic,20,10,900,40,9,3084.831754632334
3622.9166666666665,0.8566666666666667,2756.411111111111,4922.675,basic,20,10,900,60,3,3084.831754632334
3641.826666666667,0.89,2734.301851851852,5003.113888888889,basic,20,10,900,60,6,3084.831754632334
3599.2155555555555,0.8777777777777778,2683.5685185185184,4972.686111111111,basic,20,10,900,60,9,3084.831754632334
3190.1566666666668,0.8088888888888889,2736.801388888889,5003.577777777778,basic,20,10,900,80,3,3084.831754632334
3176.65,0.8566666666666667,2733.9236111111118,4947.555555555556,basic,20,10,900,80,6,3084.831754632334
3150.1222222222223,0.8455555555555555,2675.238888888889,5049.655555555555,basic,20,10,900,80,9,3084.831754632334
4977.529,1.0,,4977.529,basic,20,10,1000,0,3,3084.831754632334
4987.27,1.0,,4987.27,basic,20,10,1000,0,6,3084.831754632334
4999.242,1.0,,4999.242,basic,20,10,1000,0,9,3084.831754632334
4521.808,0.943,2810.53,4949.6275,basic,20,10,1000,20,3,3084.831754632334
4536.452,0.965,2676.12,5001.535,basic,20,10,1000,20,6,3084.831754632334
4526.067,0.967,2668.76,4990.39375,basic,20,10,1000,20,9,3084.831754632334
4046.554,0.906,2748.72,4911.776666666667,basic,20,10,1000,40,3,3084.831754632334
4104.045,0.93,2738.6475,5014.31,basic,20,10,1000,40,6,3084.831754632334
4054.173,0.925,2674.98,4973.635,basic,20,10,1000,40,9,3084.831754632334
3624.475,0.857,2742.7816666666668,4947.015,basic,20,10,1000,60,3,3084.831754632334
3637.99,0.896,2746.6583333333333,4974.9875,basic,20,10,1000,60,6,3084.831754632334
3597.695,0.889,2662.9283333333333,4999.845,basic,20,10,1000,60,9,3084.831754632334
3183.574,0.81,2732.335,4988.53,basic,20,10,1000,80,3,3084.831754632334
3175.837,0.848,2724.34625,4981.8,basic,20,10,1000,80,6,3084.831754632334
